Subcatchment,Functional Unit,Model,Input Data-PET,Input Data-Rainfall,Sacramento-Lztwm (mm),Sacramento-Lzfsm (mm),Sacramento-Lzfpm (mm),Sacramento-Lzsk (None),Sacramento-Lzpk (None),Sacramento-Rserv (None),Sacramento-Side (None),Sacramento-UH1 (None),Sacramento-UH2 (None),Sacramento-UH3 (None),Sacramento-UH4 (None),Sacramento-UH5 (None),Sacramento-Uztwm (mm),Sacramento-Uzfwm (mm),Sacramento-Uzk (None),Sacramento-Zperc (None),Sacramento-Rexp (None),Sacramento-Pctim (None),Sacramento-Sarva (None),Sacramento-Ssout (mm),Sacramento-Adimp (None),Sacramento-Pfree (None)
QBN01,COMMERCIAL - Hardstand,Sacramento,Climate Data.LBG_Mwet_data_3_csv.Mwet_QBN01,Climate Data.LBG_Rain_data_3_csv.Rain_QBN01,108.247049338186,32.9531229692213,50.5919796985246,0.104690625552841,0.00665711482219168,0,0.491133663960067,0.566400040334827,1,0.244659569272703,0.0698556515828799,0.130286870916207,70.6442117562136,21.9039674996516,0.2,167.655607344567,3.5,0.0312567350242689,0.00167606208695788,0.005977407539568,0.101782859860568,0.246803255046147
QBN01,COMMERCIAL - Permeable,Sacramento,Climate Data.LBG_Mwet_data_3_csv.Mwet_QBN01,Climate Data.LBG_Rain_data_3_csv.Rain_QBN01,108.247049338186,32.9531229692213,50.5919796985246,0.104690625552841,0.00665711482219168,0,0.491133663960067,0.566400040334827,1,0.244659569272703,0.0698556515828799,0.130286870916207,70.6442117562136,21.9039674996516,0.2,167.655607344567,3.5,0.0312567350242689,0.00167606208695788,0.005977407539568,0.101782859860568,0.246803255046147
QBN01,COMMERCIAL - Road,Sacramento,Climate Data.LBG_Mwet_data_3_csv.Mwet_QBN01,Climate Data.LBG_Rain_data_3_csv.Rain_QBN01,108.247049338186,32.9531229692213,50.5919796985246,0.104690625552841,0.00665711482219168,0,0.491133663960067,0.566400040334827,1,0.244659569272703,0.0698556515828799,0.130286870916207,70.6442117562136,21.9039674996516,0.2,167.655607344567,3.5,0.0312567350242689,0.00167606208695788,0.005977407539568,0.101782859860568,0.246803255046147
QBN01,COMMERCIAL - Roof,Sacramento,Climate Data.LBG_Mwet_data_3_csv.Mwet_QBN01,Climate Data.LBG_Rain_data_3_csv.Rain_QBN01,108.247049338186,32.9531229692213,50.5919796985246,0.104690625552841,0.00665711482219168,0,0.491133663960067,0.566400040334827,1,0.244659569272703,0.0698556515828799,0.130286870916207,70.6442117562136,21.9039674996516,0.2,167.655607344567,3.5,0.0312567350242689,0.00167606208695788,0.005977407539568,0.101782859860568,0.246803255046147
QBN01,COMMERCIAL - Water,Nil runoff,,Climate Data.LBG_Rain_data_3_csv.Rain_QBN01,,,,,,,,,,,,,,,,,,,,,,
QBN01,CONSERVATION - Hardstand,Sacramento,Climate Data.LBG_Mwet_data_3_csv.Mwet_QBN01,Climate Data.LBG_Rain_data_3_csv.Rain_QBN01,108.247049338186,32.9531229692213,50.5919796985246,0.104690625552841,0.00665711482219168,0,0.491133663960067,0.566400040334827,1,0.244659569272703,0.0698556515828799,0.130286870916207,70.6442117562136,21.9039674996516,0.2,167.655607344567,3.5,0.0312567350242689,0.00167606208695788,0.005977407539568,0.101782859860568,0.246803255046147
QBN01,CONSERVATION - Permeable,Sacramento,Climate Data.LBG_Mwet_data_3_csv.Mwet_QBN01,Climate Data.LBG_Rain_data_3_csv.Rain_QBN01,108.247049338186,32.9531229692213,50.5919796985246,0.104690625552841,0.00665711482219168,0,0.491133663960067,0.566400040334827,1,0.244659569272703,0.0698556515828799,0.130286870916207,70.6442117562136,21.9039674996516,0.2,167.655607344567,3.5,0.0312567350242689,0.00167606208695788,0.005977407539568,0.101782859860568,0.246803255046147
QBN01,CONSERVATION - Road,Sacramento,Climate Data.LBG_Mwet_data_3_csv.Mwet_QBN01,Climate Data.LBG_Rain_data_3_csv.Rain_QBN01,108.247049338186,32.9531229692213,50.5919796985246,0.104690625552841,0.00665711482219168,0,0.491133663960067,0.566400040334827,1,0.244659569272703,0.0698556515828799,0.130286870916207,70.6442117562136,21.9039674996516,0.2,167.655607344567,3.5,0.0312567350242689,0.00167606208695788,0.005977407539568,0.101782859860568,0.246803255046147
QBN01,CONSERVATION - Roof,Sacramento,Climate Data.LBG_Mwet_data_3_csv.Mwet_QBN01,Climate Data.LBG_Rain_data_3_csv.Rain_QBN01,108.247049338186,32.9531229692213,50.5919796985246,0.104690625552841,0.00665711482219168,0,0.491133663960067,0.566400040334827,1,0.244659569272703,0.0698556515828799,0.130286870916207,70.6442117562136,21.9039674996516,0.2,167.655607344567,3.5,0.0312567350242689,0.00167606208695788,0.005977407539568,0.101782859860568,0.246803255046147
QBN01,CONSERVATION - Water,Nil runoff,,Climate Data.LBG_Rain_data_3_csv.Rain_QBN01,,,,,,,,,,,,,,,,,,,,,,
