Date,Gauge: 410734: Downstream Flow (ML.day^-1),Gauge: 410734: Recorded Gauging Station Flow (ML.day^-1),Total: SC #1: Outflow (ML.day^-1),Total: SC #1: Quick Flow (ML.day^-1),Total: SC #1: Slow Flow (ML.day^-1),Total: SC #2: Outflow (ML.day^-1),Total: SC #2: Quick Flow (ML.day^-1),Total: SC #2: Slow Flow (ML.day^-1)
2000-06-23,54.259381346073148,34.128000000000007,31.571609847022959,31.571609847022959,0,22.687771499050186,22.511534637255171,0.17623686179501663
2000-06-24,4.39481753733887,38.102400000000003,1.3175716896257508,1.3175716896257508,0,3.0772458477131197,3.0017144430037885,0.075531404709330813
2000-06-25,0,31.795200000000001,0,0,0,0,0,0
2000-06-26,0,27.907200000000003,0,0,0,0,0,0
2000-06-27,0,25.2288,0,0,0,0,0,0
2000-06-28,0,23.932800000000004,0,0,0,0,0,0
2000-06-29,0.48496491613828413,23.414400000000004,0,0,0,0.48496491613828413,0.46548795474815879,0.019476961390125308
2000-06-30,66.906495046610928,25.142399999999999,41.631960978518322,36.919550941322157,4.7124100371961672,25.27453406809261,21.821861616238031,3.4526724518545793
2000-07-01,134.77475618202905,37.756800000000005,86.402862632648791,73.200215303166743,13.202647329482042,48.371893549380253,39.06306864973039,9.3088248996498582
2000-07-02,40.471850783700646,67.046400000000006,25.224597971463794,15.165341406267963,10.059256565195833,15.24725281223685,8.2052247237893816,7.0420280884474691
2000-07-03,22.922940357391116,61.776000000000003,14.301704320050153,6.4306223246892404,7.8710819953609104,8.6212360373409638,3.2139073989776983,5.407328638363265
2000-07-04,40.895824809444626,47.865600000000008,27.121170427160095,18.260232361800529,8.8609380653595657,13.774654382284533,7.7427057557244812,6.0319486265600508
2000-07-05,80.961573909242659,43.200000000000003,53.11716576497038,33.362887435304138,19.754278329666242,27.844408144272276,17.242561273219849,10.601846871052429
2000-07-06,96.964304945351785,52.704000000000001,58.466469598695006,31.88731527281147,26.579154325883533,38.497835346656785,22.356676866904973,16.141158479751816
2000-07-07,57.426522147490708,55.468800000000002,34.619574401676154,12.04616070007471,22.573413701601446,22.806947745814544,9.0984515354571496,13.708496210357396
2000-07-08,54.296332060096212,51.321600000000004,32.157450739922062,12.086658342372077,20.070792397549983,22.13888132017415,9.8713920639678232,12.267489256206325
2000-07-09,40.881072510175805,45.878400000000006,23.893422573287928,4.4496811588462819,19.44374141444165,16.98764993688788,3.7169449055469435,13.270705031340936
2000-07-10,28.054253144195929,40.003200000000007,16.754753041828888,1.069267779876321,15.68548526195257,11.299500102367038,0.91484293783906412,10.384657164527972
2000-07-11,24.698310259884213,36.979199999999999,14.677925191126716,1.3280675741077754,13.349857617018939,10.020385068757497,1.1623092206278816,8.8580758481296158
